"dAIC"	"df"	"weight"	"names"
"1"	"0"	"7"	"0.248135515777357"	"fit10"
"2"	"0.0597913655431626"	"6"	"0.240827124108701"	"fit4"
"3"	"1.23057212503971"	"7"	"0.134113836977846"	"fit7"
"4"	"1.99999955221591"	"8"	"0.0912839753167151"	"fit16"
"5"	"2.000261851289"	"8"	"0.0912720042506756"	"fit13"
"6"	"2.05979056918221"	"7"	"0.0885953831129793"	"fit11"
"7"	"3.24699444865206"	"8"	"0.0489342620807511"	"fit14"
"8"	"4.01014527328221"	"9"	"0.0334115749344153"	"fit17"
"9"	"6.42800293531639"	"6"	"0.00997391877933537"	"fit5"
"10"	"8.4300006805363"	"7"	"0.00366553643363983"	"fit8"
"11"	"8.43130390275445"	"7"	"0.0036631487073979"	"fit12"
"12"	"9.14828195908831"	"5"	"0.00255955662969304"	"fit2"
"13"	"10.4300054616266"	"8"	"0.00134847227121328"	"fit15"
"14"	"11.1484010012809"	"6"	"0.000941552218689984"	"fit6"
"15"	"11.1485162495914"	"6"	"0.000941497964101977"	"fit3"
"16"	"13.2293363483784"	"7"	"0.00033264043648827"	"fit9"
"17"	"77.0826661192793"	"2"	"4.53315591441132e-18"	"fit1"
