Type,Code,Biofilm
F,KBS0827F,0
F,KBS0819F,0.001
F,KBS0825F,0.002
F,KBS0823F,0.007
B,KBS0725,0.009
B,KBS0816,0.013
F,KBS0820F,0.014
F,KBS0821F,0.016
F,KBS0822F,0.031
F,KBS0818F,0.041
B,KBS0727,0.092
F,KBS0814F,0.098
B,KBS0806_NM,0.10449506
B,KBS0702,0.105
B,KBS0704,0.151
B,KBS0701,0.166
B,KBS0703,0.193
B,KBS0705,0.206
B,KBS0707,0.257
F,KBS0807F,0.271
F,KBS0834F,0.274
B,KBS0722,0.275
B,KBS0802,0.289
F,KBS0826F,0.294
B,KBS0713,0.297
B,KBS0801,0.422
F,KBS0803F,0.448
F,KBS0824F,0.465
B,KBS0710,0.528
F,KBS0816F,0.586
F,KBS0810F,0.587
F,KBS0805F,0.721
F,KBS0817F,0.768
F,KBS0802F,0.783
B,KBS0721,0.846
F,KBS0806F,0.88
B,KBS0715,1.013
B,KBS0806_OE,1.11
B,KBS0724,1.195
F,KBS0804F,1.214
B,KBS0717,1.583
B,KBS0711,1.757
B,KBS0706,1.989
B,KBS0714,2.636
B,KBS0812,3.06
F,KBS0801F,3.075
