Time.h,NM.1,NM.2,NM.3,OE.1,OE.2,OE.3
0,0.001,0.0248,0.002,0.002,0.001,0.001
8,0.0825,0.0724,0.0593,0.0861,0.0869,0.0999
14,0.2554,0.2877,0.2303,0.3426,0.3456,0.3688
24,0.4151,0.4841,0.4202,0.6203,0.6217,0.5842
32,0.6285,0.6881,0.6728,0.7917,0.7932,0.795
38,0.9528,0.9817,0.9972,1.0351,1.0692,0.9617
48,0.9399,1.0062,0.9705,0.8872,0.8667,0.9061
56,0.9214,0.9492,0.8864,0.9356,0.8698,0.8864
62,0.9127,0.8953,0.9422,0.9031,0.9994,0.8926
72,0.7542,0.7584,0.7188,0.8111,0.8452,0.7957
