MPa	t0	tf	Hours	Strain	Culture
-0.099487931	1.94E+06	7.20E+06	96	KBS0701	mono
-0.099487931	1.44E+06	8.45E+06	96	KBS0701	mono
-0.099487931	1.24E+06	5.82E+07	96	KBS0701	mono
-0.485527716	8.05E+05	5.20E+06	96	KBS0701	mono
-0.485527716	4.55E+05	3.50E+06	96	KBS0701	mono
-0.485527716	1.66E+06	2.45E+06	96	KBS0701	mono
-1.052777276	1.72E+06	1.38E+05	96	KBS0701	mono
-1.052777276	1.99E+06	1.15E+06	96	KBS0701	mono
-1.052777276	5.35E+05	4.00E+04	96	KBS0701	mono
-1.405646845	1.26E+06	1.25E+04	96	KBS0701	mono
-1.405646845	1.40E+06	4.65E+04	96	KBS0701	mono
-1.405646845	1.58E+06	4.50E+03	96	KBS0701	mono
-0.099487931	1.80E+05	8.10E+07	96	NM	cocult_0701
-0.099487931	1.80E+05	3.80E+07	96	NM	cocult_0701
-0.099487931	7.00E+04	2.50E+07	96	NM	cocult_0701
-0.485527716	1.40E+05	3.90E+05	96	NM	cocult_0701
-0.485527716	1.10E+05	6.20E+05	96	NM	cocult_0701
-0.485527716	5.00E+04	1.70E+05	96	NM	cocult_0701
-1.405646845	8.50E+04	2.00E+02	96	NM	cocult_0701
-1.405646845	1.30E+04	1.00E+02	96	NM	cocult_0701
-1.405646845	2.80E+04	1.00E+02	96	NM	cocult_0701
-1.405646845	6.00E+04	1.00E+03	96	NM	cocult_0701
-1.405646845	9.00E+04	2.00E+03	96	NM	cocult_0701
-0.099487931	2.70E+05	1.60E+08	96	OE	cocult_0701
-0.099487931	2.30E+05	1.94E+08	96	OE	cocult_0701
-0.099487931	5.30E+05	1.02E+08	96	OE	cocult_0701
-0.485527716	9.00E+04	7.20E+00	96	OE	cocult_0701
-0.485527716	1.20E+05	7.00E+07	96	OE	cocult_0701
-0.485527716	6.00E+04	8.00E+07	96	OE	cocult_0701
-1.052777276	3.00E+04	9.00E+05	96	OE	cocult_0701
-1.052777276	3.00E+04	1.00E+06	96	OE	cocult_0701
-1.052777276	1.30E+05	6.00E+04	96	OE	cocult_0701
-1.405646845	1.40E+05	2.00E+03	96	OE	cocult_0701
-1.405646845	4.00E+04	2.00E+03	96	OE	cocult_0701
-1.405646845	1.00E+05	2.00E+03	96	OE	cocult_0701
-0.099487931	2.52E+06	1.00E+06	96	KBS0701	cocult_NM
-0.485527716	2.73E+06	2.66E+06	96	KBS0701	cocult_NM
-0.485527716	2.23E+06	1.06E+06	96	KBS0701	cocult_NM
-0.485527716	4.70E+05	1.48E+06	96	KBS0701	cocult_NM
-1.052777276	2.38E+06	3.00E+04	96	KBS0701	cocult_NM
-1.052777276	1.19E+06	6.30E+05	96	KBS0701	cocult_NM
-1.052777276	4.50E+05	1.33E+06	96	KBS0701	cocult_NM
-1.052777276	4.27E+05	1.12E+04	96	KBS0701	cocult_NM
-1.052777276	2.82E+05	1.86E+04	96	KBS0701	cocult_NM
-1.052777276	3.76E+05	3.10E+03	96	KBS0701	cocult_NM
-1.405646845	1.60E+06	1.00E+03	96	KBS0701	cocult_NM
-1.405646845	4.62E+05	2.50E+03	96	KBS0701	cocult_NM
-1.405646845	2.52E+05	1.00E+03	96	KBS0701	cocult_NM
-1.405646845	4.38E+05	1.43E+04	96	KBS0701	cocult_NM
-0.099487931	1.24E+06	2.00E+06	96	KBS0701	cocult_OE
-0.485527716	1.50E+06	2.00E+06	96	KBS0701	cocult_OE
-1.052777276	2.30E+06	1.70E+05	96	KBS0701	cocult_OE
-1.052777276	2.00E+06	2.70E+05	96	KBS0701	cocult_OE
-1.052777276	1.10E+06	6.00E+04	96	KBS0701	cocult_OE
-1.405646845	1.31E+06	2.00E+03	96	KBS0701	cocult_OE
-1.405646845	4.80E+05	1.60E+04	96	KBS0701	cocult_OE
-1.405646845	6.60E+05	7.00E+03	96	KBS0701	cocult_OE
-0.010613289	3.30E+06	2.10E+08	72	OE	mono
