W,R,Strain,Wavg,Ravg,Strain_avg
-0.010613289,25.72257102,NM,-0.010613289,26.17067232,NM
-0.051795689,33.73222403,NM,-0.051795689,29.27568753,NM
-0.099487931,35.41321583,NM,-0.099487931,29.89936766,NM
-0.485527716,9.595026457,NM,-0.334369989,28.83220605,NM
-1.052777276,0.690619005,NM,-0.485527716,12.19657789,NM
-1.405646845,1.711527936,NM,-1.052777276,3.62179942,NM
-0.051795689,27.21626307,NM,-1.405646845,1.759355956,NM
-0.485527716,13.92833344,NM,-1.741881453,1.798938652,NM
-0.485527716,0.485527716,NM,-2.0989977,1.327306173,NM
-0.099487931,27.05203635,NM,-2.436725773,1.728028874,NM
-0.334369989,28.83220605,NM,-2.776527723,1.780798942,NM
-1.052777276,10.74005347,NM,-3.134351534,1.201977263,NM
-1.052777276,2.906881992,NM,-0.010613289,20.23480931,OE
-1.052777276,0.726933972,NM,-0.051795689,20.39170485,OE
-0.485527716,16.2336894,NM,-0.099487931,24.33624975,OE
-0.485527716,17.16431279,NM,-0.334369989,30.70080333,OE
-0.485527716,15.98273848,NM,-0.485527716,17.88689396,OE
-0.010613289,26.61877362,NM,-1.052777276,12.65788304,OE
-0.051795689,26.8785755,NM,-1.405646845,2.578279402,OE
-0.099487931,27.23285079,NM,-1.741881453,1.817078363,OE
-0.485527716,11.98641694,NM,-2.0989977,1.912724111,OE
-1.052777276,3.044508661,NM,-2.436725773,1.586209317,OE
-1.405646845,1.807183976,NM,-2.776527723,2.351375298,OE
-1.741881453,1.798938652,NM,-3.134351534,2.687784479,OE
-2.0989977,1.327306173,NM,,,
-2.436725773,1.728028874,NM,,,
-2.776527723,1.780798942,NM,,,
-3.134351534,1.201977263,NM,,,
-0.010613289,17.06766462,OE,,,
-0.051795689,18.20365303,OE,,,
-0.099487931,18.88381038,OE,,,
-0.485527716,21.09925696,OE,,,
-1.052777276,2.744567302,OE,,,
-1.405646845,3.029456294,OE,,,
-0.051795689,19.42937196,OE,,,
-0.485527716,24.10253753,OE,,,
-0.485527716,6.153831128,OE,,,
-0.099487931,26.53308913,OE,,,
-0.334369989,30.70080333,OE,,,
-1.052777276,23.3296873,OE,,,
-1.052777276,13.00475674,OE,,,
-1.052777276,18.93002451,OE,,,
-0.485527716,12.88312662,OE,,,
-0.485527716,24.86689454,OE,,,
-0.485527716,11.60791447,OE,,,
-0.010613289,23.401954,OE,,,
-0.051795689,23.54208956,OE,,,
-0.099487931,27.59184975,OE,,,
-0.485527716,24.49469645,OE,,,
-1.052777276,5.280379369,OE,,,
-1.405646845,2.12710251,OE,,,
-1.741881453,1.817078363,OE,,,
-2.0989977,1.912724111,OE,,,
-2.436725773,1.586209317,OE,,,
-2.776527723,2.351375298,OE,,,
-3.134351534,2.687784479,OE,,,
